text,label
"Images show New York City Mayor Zohran Mamdani as a child with his mother, Mira Nair, and Jeffrey Epstein.",pants-fire
"In artificial intelligence, “We're leading China by a lot.”",half-true
The Federal Emergency Management Agency’s “backlog of unanswered disaster assistance applications has exploded to the largest in its history.”,mostly-true
"""Right now we're focused on Minneapolis because that's where we have the highest concentration of people who have violated our immigration laws.""",false
"An image shows Alex Pretti holding a gun, not a phone, while pinned by federal immigration agents in Minneapolis.",false
“You cannot bring a firearm loaded with multiple magazines to any sort of protest that you want. It’s that simple.”,barely-true
Protesters against the federal immigration crackdown in Minnesota are conducting “fake protests done by agitators and professional insurrectionists. …They're professional troublemakers.”,false
Trees can explode if temperatures drop to 20 degrees below zero.,barely-true
Evan Kilgore is one of the Border Patrol agents who shot Alex Pretti in Minneapolis.,pants-fire
"Donald Trump posted on Truth Social, “Only criminals carry guns on our streets, we need law and order.”",pants-fire
"“Trump’s $2,000 tariff dividend is live but you must act.”",false
"Video showing a vacant lot at a Venice, California, address where 26 voters were registered exposes voter fraud.",false
The former U.S. childhood vaccine schedule called for babies to get “72 injections.”,false
“No están recibiendo el entrenamiento tradicional de cinco meses… .El entrenamiento para los agentes de ICE ahora es de 47 días”.,mostly-true
A letter sent to postal service employees about working during emergencies such as civil unrest is a sign that President Donald Trump will impose martial law.,false
"“By federal law, if you sign someone up for Medicaid, you also give them the right to vote. … This is political patronage at the expense of Medicaid.”",false
"""If we stop this fraud, this massive fraud, we're going to have a balanced budget.""",false
A document shows Minnesota shooting victim Renee Good had a record of child abuse.,false
Credit card companies would be “in violation of the law” if they don’t cap interest rates at 10% by Jan. 20.,false
“They are not getting the traditional five months training. … The training for the ICE agents now is 47 days.”,mostly-true
Images of an unmasked man show the immigration officer who shot a woman in Minneapolis.,pants-fire
Viral photo shows the woman killed by an ICE agent Jan. 7 in Minneapolis.,false
"The Justice Department has been investigating fraud in Minnesota “for months. So far, we have charged 98 individuals.”",half-true
Maduro was “flooding America with deadly fentanyl.”,false
Venezuelan leader Nicolás Maduro “was releasing people from his prisons and sending them to our southern border under the Biden administration.”,false
"Video shows “leaked Donald Trump audio about the Epstein files and Venezuela.""",false
Gov. Tim Walz had Democratic lawmaker Melissa Hortman killed.,false
Video shows “millions of Venezuelans flooded the streets of Caracas” to celebrate Nicolás Maduro’s capture.,false
Images and videos show aftermath of Venezuelan President Nicolás Maduro’s capture.,pants-fire
Brown University student Mustapha Karbouch was a suspect in school shooting.,false
Images from Jeffrey Epstein “archives” show President Donald Trump and Epstein with young women.,pants-fire
Image shows Rob Reiner tweeted in 2023 that he would stop posting until “Trump goes to prison.”,false
Gov. Kathy Hochul has raised taxes.,half-true
The U.S. has received promises of investments totaling $18 trillion to $22 trillion since January.,false
“I take responsibility for putting people in jail” in Minnesota fraud scandal.,false
Video muestra noticia de “última hora” en el que el presidente venezolano Nicolás Maduro se “rindió públicamente” ante el presidente Donald Trump.,pants-fire
"Any pardon signed with an autopen is now ""fully and completely terminated, and is of no legal effect.""",false
A new North Carolina law “prohibits the use of wireless communication devices while driving.”,false
"Video shows “breaking” news that Venezuelan President Nicolás Maduro ""publicly surrendered"" to President Donald Trump.",pants-fire
"“This Thanksgiving, turkey prices are at their lowest point since 2000.”",false
"The Trump administration removed nursing from the list of professional degree programs, affecting aspiring nurses’ student loan access.",half-true
“I have just gotten the highest poll numbers of my ‘political career.’”,false
"“There’s about 1,400 criminal illegal aliens that, right now, are in North Carolina and Charlotte’s jails that they refuse to turn over to ICE law enforcement.”",false
West Virginia is “the only state losing population.”,false
A pro-Donald Trump Montana town planned a “pedophile bonfire” in a park for burning Trump flags and MAGA hats.,pants-fire
“We’re not cutting science. We’re not cutting research.”,pants-fire
Housing is expensive “because we flooded the country with 30 million illegal immigrants” and because of a housing shortage.,barely-true
"Stock prices for health insurance companies are “up over 1,000% over a short period of time.”",half-true
Video shows President Donald Trump patting President Bill Clinton’s crotch.,false
“Evidence suggests that 1 in 25 women who consume (abortion) pills are hospitalized.”,barely-true
“My tariffs … are helping to slash the deficit this year by more than 25%.”,false
Walmart’s 2025 package of Thanksgiving dinner ingredients shows a “25% reduction in costs for Thanksgiving between (President Joe) Biden and me.”,barely-true
“DOGE halts yearly payment of $2.5 million to Barack Obama for ‘royalties linked to Obamacare.’”,pants-fire
“North Carolina teachers are already the lowest paid teachers in the south.”,barely-true
“RFK Jr. flees the scene after Novo Nordisk Executive Gordon Findlay collapsed in the Oval Office.”,false
New York City Mayor-elect Zohran Mamdani “is bringing Sharia law to America.”,pants-fire
Voting in California is “rigged.”,pants-fire
"New York state has ""no ID requirement"" to vote, and people could lie about their address and ""vote in multiple precincts.""",barely-true
“The New York City ballot form is a scam” because “mayoral candidates appear twice.”,false
"The federal government “decided to shut down the SNAP machines, so that they can’t be used.”",false
The majority of Supplemental Nutrition Assistance Program recipients are not U.S. citizens.,false
“No American citizens have been arrested or detained” during the Trump administration’s immigration crackdowns.,pants-fire
"In Florida, “68 to 70% of property tax revenue” is from “second homes, investment properties, commercial properties, Airbnb,” not primary residences.",mostly-true
"“To all ICE officers, you have federal immunity in the conduct of your duties.”",barely-true
Walmart will close to in-store shoppers and allow only online orders and curbside pickup starting Nov. 1 because of an expected Supplemental Nutrition Assistance Program funding lapse.,pants-fire
"""Overall, the inflation since President Trump” took office “has come down.""",half-true
"Video shows Hurricane Melissa hitting Jamaica on Oct. 26, 2025.",false
"An ad from the government of Ontario, Canada, “misrepresents” President Ronald Reagan’s April 25, 1987, address about tariffs.",barely-true
"“The Trump administration just declared that erecting a ballroom is the president’s main priority,” rather than issues such as the cost of living and health care.",false
"Con respecto a los ataques contra las embarcaciones en las costas de Venezuela, “por cada barco que destruimos, salvamos 25,000 vidas estadounidenses”.",pants-fire
A new White House ballroom “won't interfere with the current building.”,full-flop
"“About 25% of the time the Coast Guard boards a ship, there are no drugs.”",mostly-true
"“Fifty percent of the presidents, almost, have used (the Insurrection Act). And that's unquestioned power.”",barely-true
"""Political violence, it's just a statistical fact that it's a bigger problem on the left.”",barely-true
Video shows “No Kings” protest in the United Kingdom.,pants-fire
Democrats are “dishonestly sending around a video from 2017” claiming it was an Oct. 18 ‘No Kings’ rally in Boston.,false
Florida will be the “hardest hit” state in the country if enhanced Affordable Care Act subsidies expire.,mostly-true
"“We’ve never had a president that solved one war, not one war.”",pants-fire
"Regarding boat strikes off the coast of Venezuela, “Every boat that we knock out we save 25,000 American lives.”",pants-fire
Un video muestra un “arresto por robo que la policía de Chicago realizó hace más de un año”.,false
"As the Trump administration pursues mortgage fraud charges against Letitia James, “there are three Cabinet members who committed mortgage fraud that he’s just letting fly.”",barely-true
"“Trump’s budget called for a $300 (million) cut” to the Women, Infants and Children program.",true
“Vaccine makers are exempt from all liability for vaccine injury and death.”,barely-true
A video shows a “burglary arrest Chicago Police made over a year ago.”,false
"“If you vote no on Prop 50 to stop the redistricting, it shows through the envelope,” making it easy for Democrats to cheat.",barely-true
“It's going to be the biggest infusion of federal dollars into rural health care in American history.”,barely-true
"“El CEO de Coca-Cola, James Quincey, lanzó un ultimátum contundente: cancelen la actuación de Bad Bunny en el Super Bowl o la marca terminará su patrocinio del evento.”",pants-fire
"“As a condition for ending the Democrat shutdown, Democrats want hospitals (to be) paid MORE to treat illegal aliens than American citizens.”",false
“The FBI tapped my phone” and those of other senators.,barely-true
“Coca-Cola CEO drops bombshell ultimatum to NFL — pull Bad Bunny from Super Bowl halftime or lose our $100 (million) sponsorship!”,pants-fire
Democrats shut down the government because they want “health care for illegal aliens and funding for free abortions.”,false
“Portland is burning to the ground.”,false
“Los demócratas están amenazando con cerrar todo el gobierno porque quieren dar cientos de miles de millones de dólares en beneficios de cuidado de salud a los inmigrantes ilegales”.,false
"Thirty percent of U.S. medical residents are international medical graduates, and 10,000 of 43,000 residency spots are filled by H-1B visa holders.",half-true
“You never heard Biden say” the U.S. has “the strongest military anywhere in the world.”,pants-fire
“Democrats are threatening to shut down the entire government because they want to give hundreds of billions of dollars of health care benefits to illegal aliens.”,false
"On Jan. 6, 2021, 274 FBI agents were “probably acting as agitators and insurrectionists, but certainly not as ‘law enforcement officials.’”",pants-fire
"People with insurance through the Affordable Care Act will see a “75% increase in premiums starting Nov. 1” if enhanced subsidies are not extended, including “twice as much in the rural areas.”",mostly-true
"“If the government shuts down, members of Congress still get paid. The janitors never get paid.”",mostly-true
"""Republicans have effectively ended medical research in the United States of America.""",barely-true
"During Gov. Hochul’s tenure, there has been “more crime on our streets.”",mostly-true
"Small children are given ""80 different vaccines.""",false
“Erika Kirk is banned from Romania because her Evangelical group was accused of trafficking children out of Romanian villages.”,false
The U.S. currently has “no inflation.”,false
“I have ended seven unendable wars.”,barely-true
“There's no downside” to avoiding Tylenol or acetaminophen use while pregnant.,pants-fire
"There was not “a single, prominent conservative voice in the country that even remotely wanted or hoped or was pushing to get Jimmy Kimmel taken off the air.”",false
Former President Barack Obama eliminated a law that “held news corporations accountable for lying to the American people.”,false
“Republicans are spiking health insurance premiums by 75% for everyday Americans” if they don’t extend enhanced Affordable Care Act subsidies.,mostly-true
“North Carolina has just approved a law permitting foreign doctors to practice without completing U.S. training or licensing exams.”,barely-true
Former North Carolina Gov. Roy Cooper “bears direct responsibility” for the fatal stabbing of a woman on the Charlotte rail system.,false
A book on Amazon titled “The Shooting of Charlie Kirk” with a Sept. 9 publication date is evidence the event was staged.,false
"“Wind and solar energy infrastructure is essentially worthless when it is dark outside, and when the wind is not blowing.”",false
Video shows Chicago salt trucks were used “to slow traffic and block access points in response to an incoming ICE operation.”,false
Las cifras de la Oficina de Estadísticas Laborales de EE.UU. muestran que “tenemos 1.6 millones de inmigrantes ilegales que han regresado a su país de origen voluntariamente”.,half-true
“Groceries are down. Energy is way down. ... Was $4 and $5 for a gallon of gas.”,half-true
“The average American worker has already seen a $500 wage increase this year.”,half-true
“Everybody can get” the COVID-19 vaccine.,barely-true
Every school vaccine mandate “drips” with “slavery.”,pants-fire
"U.S. Bureau of Labor Statistics statistics show, “We have 1.6 million illegal aliens that have gone home voluntarily.”",half-true
President Donald Trump’s “official schedule was suddenly suspended.”,false
The U.S. Census included a citizenship question “for over 150 years” before the Obama administration.,false
A Vanity Fair cover featured first lady Melania Trump as “The American Queen.”,pants-fire
"Following the passage of a 2022 gun safety law, mass shootings “began to drop.”",half-true
"In Washington, D.C., “We always have a murder a week.”",false
"""If you go back to World War II, if you go back to World War I, if you go back to every major conflict in human history, they all end with some kind of negotiation.""",false
An Aug. 23 video shows “the military’s already showing up in Chicago” before a potential National Guard deployment.,false
“We had the biggest tax cut for families that this country has ever seen.”,barely-true
"TikTok videos show police clearing out homeless encampments in Washington, D.C.",false
“Democrats have voted for national independent redistricting. Republicans have not.”,mostly-true
"The Smithsonian Institution includes “nothing about success, nothing about brightness, nothing about the future.”",pants-fire
"With voting machines, ""They say we're going to have the results in two weeks. With paper ballots, you have the results that night.""",false
“We are now the only country in the world that uses mail-in voting.”,false
"La presidenta de México, Claudia Sheinbaum, dijo que la muerte del político colombiano Miguel Uribe Turbay, “Es bueno para Colombia, un político menos de que preocuparse”.",pants-fire
“The (Evers) Era locked Wisconsin families into a 400‑year property tax increase.”,mostly-true
"Washington, D.C., has 41 homicides per 100,000 people, “No. 1 that we can find anywhere in the world.”",false
“Promises kept: negative net migration (in the U.S.) for the first time in 50 years!”,barely-true
The official U.S. government website erased sections of the U.S. Constitution without amending it.,false
"Osos pardos, bisontes y pumas están huyendo del Parque Nacional de Yellowstone hacia Salt Lake City, Utah.",false
“Democrats have 24 more seats (in Congress) than they would have if illegal aliens were not counted in the census.”,false
"Elk, grizzly bears, bison and mountain lions are fleeing Yellowstone National Park to Salt Lake City, Utah.",false
Texas Republicans held one hearing on flood response but eight hearings on redistricting,half-true
"Bureau of Labor Statistics employment numbers “were rigged” when the agency revised them “down by almost 900,000 jobs” after the 2024 election.",pants-fire
“I’ve stopped six wars” since taking office in January 2025.,barely-true
"President Donald Trump “made 4,725 wire transfers” to Jeffrey Epstein, totaling nearly $1.1 billion.",false
"“Home Depot signed a deal that pays them $250 million with DHS, allowing ICE agents to stake out their parking lots and arrest immigrants.”",false
“Guns are the leading cause of death for children in North Carolina.”,mostly-true
“Nearly 25 cents of every $1 spent via SNAP goes to farmers and ranchers.”,true
"Oprah Winfrey refused to open her private Maui road during July 29, 2025, tsunami warnings.",pants-fire
“We gave $60 million two weeks ago” for food aid to Gaza.,half-true
Suspect in July 28 New York City shooting “was shouting Free Palestine and wearing a Keffiyeh.”,false
“There is no starvation in Gaza.”,pants-fire
Democrats paid Beyoncé $11 million for an endorsement.,false
The Jeffrey Epstein plea agreement “was a sweetheart plea deal that was made under the Obama administration.”,false
"Images show “Egyptian youth who put some food, baby formula, rice, and flour in bottles and threw them into the sea, hoping it would reach Gaza.”",false
"“Since Donald Trump's inauguration, we have seen an 11% decline in the value of the dollar, the steepest decline in more than a half a century.”",mostly-true
"“America had a trade surplus in ice cream in 2020 under President Trump's leadership, but that surplus turned into a trade deficit of $40.6 million under President Biden's watch.”",mostly-true
"Florida: #51 in mental health care, #1 in home insurance costs, #1 in elder fraud, #1 in rent hikes.",half-true
Tariffs are “going to pay off our deficit.”,false
"In 2016, after Donald Trump won the presidency, then-President Barack Obama was “trying to lead a coup” with Trump’s opponent, Hillary Clinton.",pants-fire
“The White House just announced that Trump only has four days left” because of his chronic venous insufficiency.,pants-fire
"Under President Donald Trump’s newly signed tax law, “Those making less than $50,000 receive the largest (tax) cuts.”",barely-true
“California provides $83.1 billion more than we receive from the federal government. Texas? Receives $71.1 billion more than they provide to the federal government. 71% of the U.S. GDP comes from blue counties.”,mostly-true
The Jeffrey Epstein files “were made up by Comey. They were made up by Obama. They were made up by Biden.”,pants-fire
"El sheriff del condado Kerr, Texas dijo, “que se debe solicitar la residencia permanente para el equipo de rescate mexicano que rescató a su familia”.",false
"""People tracking the ICE deportation flights have found” the agency is throwing migrants into the middle of the ocean.",pants-fire
"The Kerr County, Texas, sheriff “said he would apply for a green card for the Mexican rescue team that saved his family.”",false
There is “zero impact” from Alligator Alcatraz on the Florida Everglades.,false
"A Congressional Budget Office estimate of people who stand to lose insurance from President Donald Trump’s tax and spending law said “about 5 million … have other insurance,” so “if they lose one (type of coverage), they're still insured.”",barely-true
"“ICE will now become the country’s largest federal law enforcement agency, bigger than the FBI, bigger than the DEA.”",mostly-true
Former Gov. Roy Cooper is scheduled to speak at a Winston-Salem coffee shop July 18 at 11 a.m. about the “future of North Carolina.”,false
"China doesn’t “have a lot of wind farms. … Very, very few.”",pants-fire
Almost 5 million able-bodied Medicaid recipients “simply choose not to work” and “spend six hours a day socializing and watching television.”,false
The Trump administration “has defunded not only the National Weather Service but also what’s known as NOAA.”,barely-true
"President Donald Trump’s tax law has “tax breaks for billionaires, permanent; tax breaks for everybody else, expire.”",half-true
The Rainmaker Technology Corp.’s cloud seeding caused the July 4 flooding in Texas.,false
“Si dios fuera ilegal lo deportariamos palabras del gobernador de Texas”.,false
“Donald Trump acaba de firmar una nueva orden que pone al país en alerta máxima y sella las fronteras para todos los residentes” el 1 de julio.,false
"Una nueva ley permite aplicar a “la residencia permanente de forma directa, rápida y sin salir del país” si los migrantes han vivido al menos siete años en EE.UU.",false
President Donald Trump signed an executive order for “a total border shutdown with no set reopening date” on July 1.,false
"A new “community recognition” law allows people to apply for “permanent residency directly, quickly, and without leaving the country” if they have “resided continuously in the United States for at least seven years, regardless of their current immigration status.”",false
Idaho shooting suspect Wess Roley faced criminal charges and had a no-contact order from his family.,false
The One Big Beautiful Bill will deliver the promise of “no tax on Social Security.”,barely-true
"“If every one of the 340 million people in America paid a new $35 copay to visit the doctor, that still wouldn’t be enough to cover how much Meta would get from just one tax break in Donald Trump's ‘Big Beautiful Bill.’""",half-true
"""Undocumented immigrants paid more taxes last year than Amazon, GM, IBM & Netflix combined.""",mostly-true
"“A lot of times, health care comes with a job.”",half-true
"If the “Big Beautiful Bill” passes, ""hardworking Americans and families will see an average increase in take-home pay of OVER $10,000 per year.""",barely-true
“The tow truck drivers in Los Angeles are quickly towing ICE vehicles improperly parked!”,pants-fire
New York City mayoral candidate Zohran Mamdani is a communist.,false
“BREAKING NEWS: Dolly Parton announces her refusal to celebrate Pride Month in June.”,pants-fire
"“The state of Illinois has a lower income tax rate than we do, and a flat tax. It’s almost half of what the top bracket here in Wisconsin is.”",mostly-true
The Republican tax and spending bill will provide a “tax cut for Social Security recipients.”,half-true
Video shows protesters “outraged” over U.S. attacks in Iran.,false
Video shows a woman wearing a rainbow hijab and a bomb vest who filmed her visit to Iran.,pants-fire
"Photo shows Israeli pilot Sarah Ahronot, who was captured by Iran.",false
Video shows “massive fire after Iranian missile made impact in Tel Aviv” in June 2025.,false
"Four million more people live in Florida, but New York gets $20 billion more for Medicaid, because it covers illegal immigrants and adults without chronic illness.",barely-true
“Governor Tim Walz has DELETED every post he made praising Minnesota (assassin) Vance Boelter.”,false
Image shows accused shooter Vance Boelter wearing a “Resist” shirt.,pants-fire
"Image shows an antifa debit card that can “automatically be funded after looting, rioting and gang stalking.”",false
Video shows the New York Mets “showed a Pride flag instead of the American flag” during the national anthem.,false
The suspect in the Minnesota lawmakers’ shootings was driven by “Marxist” ideology.,pants-fire
"California has lower homicide rates than Alabama, Arkansas and Oklahoma.",mostly-true
Video shows Marine Corps attack helicopter over Los Angeles in response to immigration raid protests.,false
Photos show Travis Kelce and Taylor Swift participated in a “No Kings” rally.,pants-fire
"Says Karoline Leavitt said, “America cannot function if President Trump has to deal with co-equal branches of government having the ability to check his power.”",false
"Companies called “T-Mellon Events” and “Fight Fite Fight LLC” are offering to pay “seat fillers” in Washington, D.C, on June 14.",false
Immigration and Customs Enforcement agents raided Los Angeles' Gratts Learning Academy during a June graduation ceremony.,false
"Video shows woman exiting her car during the 2025 Los Angeles protests, shouting, “I have babies in the car!”",false
Craigslist ad was “recruiting people for LA ‘protests.’”,false
Video shows Los Angeles protesters chanting “We are Los Angeles” in June 2025.,false
"If the “Big, Beautiful” tax and spending bill doesn’t pass, “there will be a 68% tax increase.”",false
California Gov. Gavin Newsom shared images taken in 2021 and said they showed National Guard troops sleeping on the floor in June 2025.,pants-fire
Video shows “Marines have arrived in Los Angeles” June 8 to respond to immigration protests.,false
“BREAKING: Rep. Maxine Waters calls for the United States to grant citizenship to every undocumented protester in Los Angeles” 2025 protests.,false
Video shows a police car burning during June 2025 Los Angeles protests.,false
Target “opts out of Pride month and replaced its Pride collection with an America First Summer display.”,false
“President Trump has granted pardons that have wiped out over $1 billion in debts owed by wealthy Americans who have committed fraud and broken the law.”,mostly-true
“One out of every $5 or $6 in Medicaid (payments) is improper.”,barely-true
The state budget contains the largest middle class tax cut in 70 years.,false
Image shows Ben & Jerry’s is selling “Free Palestine” and “From the River to Sea” ice cream flavors.,false
“Contractors are being rejected” from providing Hurricane Helene relief in North Carolina because of racial “quotas” required by the state.,false
“We are not cutting” the Supplemental Nutrition Assistance Program.,false
Harvard University “refuse(s) to tell us” who its international students are.,false
El gobernador de Florida Ron DeSantis firmó ley que prohíbe a inmigrantes ilegalmente en el país echar gasolina.,false
The Republican tax and spending bill will let President Donald Trump “delay or cancel elections — legally.”,false
“U.S. retail gasoline prices heading into Memorial Day weekend: 20 year low.”,half-true
"Rep. LaMonica McIver, D-N.J., started singing during a May 20 CNN interview.",false
"The slaying of two Israeli embassy employees in Washington, D.C., is a false flag.",pants-fire
"In the House bill, “we’re not changing Medicaid,” only cutting “waste, fraud and abuse.”",false
The Sean “Diddy” Combs trial testimony revealed that former President Barack Obama was “caught in secret meetings with Diddy’s drug runner.”,false
"Video shows the Qatari emir saying, “I truly regret inviting Trump, the robber, to the Middle East.”",pants-fire
Que California ofrezca acceso asequible a cuidado de salud para los inmigrantes ilegalmente en EE.UU.,half-flip
La presidenta de México Claudia Sheinbaum dijo que el choque del buque Cuauhtémoc contra el puente de Brooklyn en Nueva York no fue un accidente y puede ser un acto hostil.,false
President Donald Trump’s tax and spending bill “does not add to the deficit.”,false
"While serving in Congress, Transportation Secretary Sean Duffy “voted against upgrading air traffic control systems.”",barely-true
Former President Joe Biden’s cancer is a form of “turbo cancer” caused by mRNA vaccines.,false
"“Gasoline prices have collapsed under President Trump.""",barely-true
"It’s “all true” that the measles vaccine wanes quickly, was never fully safety tested and contains fetal debris.",false
"“Republicans just unveiled their ‘big, beautiful bill,’ which will take Medicaid & health insurance away from 13.7 million Americans.”",half-true
On California offering affordable health care access for immigrants in the U.S. illegally.,half-flip
"Declining cargo traffic at U.S. ports “means we lose less money. … When you say it's slowed down, that's a good thing.”",false
"Un vídeo muestra al presidente francés, Emmanuel Macron, al primer ministro del Reino Unido, Keir Starmer, y al canciller alemán, Friedrich Merz, con una bolsa de cocaína tras visitar al presidente ucraniano, Volodymyr Zelenskyy.",pants-fire
“Google caved in to Trump. They erased Black History Month from the calendar.”,barely-true
"The Immigration and Nationality Act “stripped Article III courts, that's the judicial branch, of jurisdiction over immigration cases.”",false
"Under a new executive order, prescription drug prices will be reduced “almost immediately.”",barely-true
"The Digital Equity Act is a handout ""based on race,” and “illegal.”",false
"A video shows French President Emmanuel Macron, United Kingdom Prime Minister Keir Starmer and German Chancellor Freidrich Merz with a bag of cocaine after visiting Ukrainian President Volodymyr Zelenskyy.",pants-fire
"“In 1996, Congress specifically authorized the executive branch to conduct non-judicial deportations NOT SUBJECT TO DUE PROCESS.”",false
“About 20% of households with veterans rely upon” the Supplemental Nutrition Assistance Program.,barely-true
"En los primeros 100 días del presidente Donald Trump, las incautaciones de fentanilo salvaron entre ""119 millones"" y ""258 millones"" de vidas.",pants-fire
“China makes 80% of all toys” and “90% of all Christmas goods” sold in the U.S.,true
"Headline said, “Pope Leo XIV was a founding member of the 2020 anarchist Portland Autonomous Zone known as CHAZ.”",false
"Robert Prevost, the Roman Catholic cardinal who was chosen to be the new pope, is a “registered Republican.”",barely-true
“We have now close to $10 trillion” in investments. “We’re talking about essentially two months.”,false
"“If people come into our country illegally, there’s a different standard” for due process.",false
Canadian tourism to Florida has declined by 80%.,barely-true
"""Republicans just voted in the House Judiciary Committee to allow Trump to DEPORT U.S. citizens to a foreign country.""",barely-true
"Video shows Canadian Prime Minister Mark Carney saying effective June 1, “all vehicles manufactured before 2000 will be gradually phased off Canadian roads due to safety and emissions standards.”",false
"The federal government’s Women, Peace and Security program is a “Biden initiative.”",false
California Democrats “block bill to make sex trafficking minors a felony.”,barely-true
DARPA is spraying the skies with chemicals that are in jet fuel.,pants-fire
"“It's estimated” that President Donald Trump’s tariffs will mean “American families would have to pay about $4,000 more a year.”",mostly-true
A video clip shows Michelle Obama describing herself as “a Black man.”,pants-fire
"In President Donald Trump’s first 100 days, fentanyl seizures saved “119 million” to “258 million” lives.",pants-fire
Kilmar Armando Abrego Garcia “had ‘MS-13’ on his knuckles tattooed. … He had ‘MS’ as clear as you can be. Not 'interpreted.’”,pants-fire
Trump “just denied North Carolina’s request for FEMA relief from Hurricane Helene.”,half-true
“We had a couple of states where gasoline was at $1.98 a gallon.”,false
“Gun violence is the leading killer of college-aged people in the U.S.”,true
"“If we don’t pass the tax bill by the end of the year, we will have the largest tax increase in American history.”",mostly-true
“The Simpsons” predicted Pope Francis’ 2025 death.,pants-fire
"Arizona Democrats “needed a lawsuit to force them to remove 50,000 noncitizens from voter rolls.”",false
Former U.S. Rep. Liz Cheney wrote a viral letter to Democrats suggesting steps to take against the Trump administration.,false
"Under the SAVE Act, “as long as you have a Real ID … it should be easy for you to register to vote.”",barely-true
"“Less than half of Americans have $1,000 in savings.”",barely-true
"Cody Balmer, the person charged with setting fire to Pennsylvania governor’s residence, posted a photo that said “F--- Trump.”",false
"U.S. Rep. Jasmine Crockett says “she ‘simply forgot' to inform Social Security that her grandmother died in 2012 … She’s been collecting $2,600 a month for 13 years.”",pants-fire
"Photos and videos show Washington, D.C., protests against White House adviser Elon Musk are “staged & paid — bussed in, scripted, clocked out.”",false
"In 2024, “China made $1 trillion off trade with the United States.”",false
"“China cancela la venta de TikTok” y “a partir de finales de abril los usuarios estadounidenses tendrán que pagar una tarifa mensual obligatoria para seguir usando TikTok"".",false
"The 2020 election was “rigged” and Chris Krebs, former Cybersecurity and Infrastructure Security Agency director, “baselessly” dismissed “election malfeasance.”",pants-fire
The U.S. is “taking in almost $2 billion a day in tariffs.”,false
“We had an agriculture export deficit that increased from zero when President Trump left to $49 billion” under former President Joe Biden.,barely-true
On enacting country-by-country tariffs April 9.,full-flop
