label,claim
barely-true,Says Rep. Ken Legler voted against installing fire sprinklers and emergency power generators in nursing homes.
false,"Says Clackamas County Measure 3-401 will hurt our county, cripple economic growth, and increase our taxes with excessive special elections."
mostly-true,Twenty-six men named William have been elected to statewide office and only seven women have had the honor.
true,Most Texans aren't millionaires.
half-true,Says Barack Obama and Hillary Clinton are responsible for leading America into a deal that will arm Iran.
half-true,Says Hillary Clinton isunder investigation with the FBI right now.
mostly-true,Were 49th in the United States in new businesses created.
barely-true,Says the Department of Defense changed its definitions of al-Qaeda and the Taliban making it so almost anybody can be loosely associated with the groups.
false,My husband and I have never gotten a penny of money from the farm.
pants-fire,Says the hospital listed on Barack Obamas just-publicized long-form birth certificate denies the president was born there.
false,Says Every legislative district in the state has at least one craft brewery and countless home brewers.
false,Says President Barack Obama is the first president weve ever had who thinks he can choose which laws to enforce and which laws to ignore.
false,Non-defense discretionary spending has increased by over 80 percent in the last two years.
barely-true,"Wisconsins criminal threshold for drunken-driving is way out of line with states surrounding us, which have the second offense as a felony."
true,"If you take the population growth here in Virginia, we are net zero on job creation since (Bob McDonnell) became governor."
mostly-true,Dave Brat worked on Democrat Gov. Tim Kaines Council of Economic Advisors while Kaine tried to raise our taxes by over $1 billion.
half-true,"Says a gun bill before the Senate would make it a federal felony to leave town for more than seven days, and leave someone else at home with your firearms."
false,On raising taxes.
pants-fire,The health care reform bill -- on Page 16 -- outlaws private insurance.
half-true,Says she will work to raise the federal minimum wage back to the highest level its ever been $12 an hour in todays dollars.
true,"Florida unemployment has dropped more than 2 percentage points, down from 12 percent to 9.9 percent, the second-largest drop in the nation."
false,Four members of the Rhode Island General Assembly went to vote in 2010 and were told they had already voted.
half-true,"The new beverage tax will increase the cost of sodas, juice drinks, sports drinks, iced teas, and flavored water up to 50%."
false,Says 70 percent of Virginias Medicaid cost is for seniors in nursing homes.
mostly-true,We have the highest corporate income tax in the world right now.
false,Says Bernie Sanders opposes requiring all children to have a K-12 education.
mostly-true,Congressman Phil Roe hands out $1.3M government check from a federal program that he voted against.
half-true,95 percent of teachers and principals are not implicated in the [Atlanta Public Schools cheating scandal] report at all.
true,"Some Republicans who voted against the stimulus ""have been all too happy to claim credit for Recovery Act projects and the jobs those projects have produced. They come to the ribbon cuttings."""
barely-true,"There are not, nor have there ever been, any boycotts encouraged by our organizations."
false,"If we went back to the obesity rates that existed back in the 1980s, the Medicare system over several years could save as much as a trillion dollars."
half-true,"As the CEO of eBay, ""Whitman started a separate division that only sells porn."""
false,"Welcome to Wisconsin road signs have always been made in Wisconsin,but Scott Walker is outsourcing themto an out-of-state company and paying more money for them."
half-true,George LeMieux voted against the majority of Republicans and joined with Democrats to create a Task Force For Responsible Fiscal Action that looks strikingly similar to the Super Committee now being set up in Washington to justify massive tax hikes.
false,"Says as we sit right now, Medicare, if we do nothing, will be gone in eight years, if we do nothing to it."
mostly-true,"Twenty-three million Americans suffer from addiction, but only 1 in 10 get treatment."
mostly-true,Says Rob Portman said the auto rescue was a lousy deal for Ohio.
barely-true,A proposed U.S. Labor Department rule for children working on farms would even ban youth from operating a battery-powered screwdriver or a pressurized garden hose.
half-true,Says under U.S. Sen. Robert Menendezs watch the nations unemployment rate and debt doubled and the federal budget deficit quadrupled.
true,Obamacare was patterned after (Mitt Romneys) plan in Massachusetts.
false,Says Gov. Rick Scott is spending a quarter of a million of our tax dollars to robocall people.
barely-true,Says he signed legislation leading to 12 Texas abortion clinics being closed.
pants-fire,"A report in Navy Times said that 7.3 percent of Army, Navy and Marines have thought about attempting suicide."
mostly-true,"This is the first time a party has picked up multiple seats during a regular election since the mid 1980s, making this the largest majority of any party in more than 25 years."
mostly-true,Health insurance is more expensive in Massachusetts than anywhere else in the country.
false,"Responding to a major snow event in Atlanta would be like Kansas City, Mo., responding to a major earthquake."
false,ISIS is making millions of dollars a week selling Libyan oil.
mostly-true,State agencies have not identified one single instance where groundwater has been damaged due to hydraulic fracking.
half-true,Says Mitt Romneys plan calls for a $5 trillion tax cut.
true,It is legal in Ohio to fire an employee or evict a tenant just for being gay.
half-true,Deepwaters own testimony . . . is they said theyll create six jobs.
mostly-true,No family earns too much to qualify for Oregon Healthy Kids program.
half-true,We [the city of Atlanta] are overbuilt on housing.
false,A judges order means theres a Constitution exemption zone if you live within 100 miles of the United States border.
false,On repealing the 17th Amendment
mostly-true,Weve outdrawn the Super Bowl for a little while now in the arenas and stadiums that weve followed them in for the Super Bowl. Weve gone in after [the NFL] and surpassed their ticket sales.
mostly-true,"Rhode Island has the second highest per enrollee (Medicaid) cost of any state in the country, which is 60 percent higher than the national average."
barely-true,Says his free public university tuition program is paid for by a tax on Wall Streets speculation.
barely-true,"Gov. McAuliffes budget would raid school, other $$ 4 Obamacare in VA."
half-true,I have now put out all of my emails.
mostly-true,"He received ""A"" ratings from ""every conservative organization that gives ratings."""
mostly-true,"Just about everyone everywhere is spending more hours on the job, less time with their families, bringing home smaller and smaller paychecks, while theyre paying more and more at the gas pump and the grocery stores."
pants-fire,Says Wisconsin Gov. Scott Walker eliminated cancer screenings for uninsured women and offered no alternatives.
true,"Nearly half of Hispanic voters in Arizona's last election supported four measures that were ""very tough on illegal immigration."""
true,"Brazil built a $300 million stadium in the Amazon rainforest that is only going to be used for four World Cup games, and theres no team that can fill it afterwards."
pants-fire,Portland Schools spend $500K to deem PBJ sandwiches racist.
true,"At least Obama didn't marry his cousin, as Giuliani did."
true,Then-Sen. Barack Obama refused to raise the debt ceiling because he said President Bush had failed in leadership.
mostly-true,Georgia had the worst job losses in state history under GOP watch.
true,A white family is likely to have about six times as much wealth than a black or Hispanic family coming out of the recession.
false,The health care law adds around $800 billion of taxes on the American people. It does not discriminate between rich and poor.
false,"Says that with President Obamas re-election, state and federal income tax rates for some taxpayers will rise to roughly 65 percent."
half-true,Greg Abbott was charged with overseeing the state cancer research fund. But he let his wealthiest donors take tens of millions of taxpayer dollars without proper oversight. They showered Abbott with gifts and free vacations.
mostly-true,"For NATO exercises, we dont have enough of our own hardware and equipment even for training purposes. So the Britsare spotting us choppers."
pants-fire,"Under Obama's budget plan, families making over $250,000 are going to lose their mortgage deduction, their charitable deductions."
mostly-true,Says a university survey concluded his Massachusetts administration had more women in senior leadership positions than any other state in America.
barely-true,About 30 percent of those released from Guantanamo have re-entered the fight.
barely-true,U.S. Sen. Lindsey Graham says South Carolina has a labor shortage and wants more immigration.
false,The crime rate in some Atlanta neighborhoods has dropped by 35 to 51 percent.
true,"Says Scott Walker wants to make abortion illegal, even in cases of rape, incest or to protect the life of the mother."
true,SaysBernie Sanders has reversed his position on immunity for gun manufacturers and sellers.
false,Some of the wealthiest Americans are African-American now.
true,Four (maybe five) Latinos have served on the Austin City Council.
half-true,"Its a good sign for Obamacare that in California, the proportion of kids who are signing up is the proportion of kids in the population."
true,Theres no correlation between primary turnout and wins in the fall in the last 11 elections.
true,The Republican presidential nominee hasnt won women since 1988.
false,"The downsizing of Pinellas County government resulted in about 1,200 people being laid off in a 12 percent unemployment market. I can tell you that every one of them was hired from the time that Ms. Latvala went into office in 2000."
mostly-true,"Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran."""
mostly-true,The governor does not have any power to veto a referendum [on same-sex marriage] that would be a constitutional amendment.
barely-true,"Were $15 trillion now in debt, with a president thats racked up as much debt as almost all of the other presidents combined."
barely-true,"Compared to President Obama,President Reagan rushed home from Santa Barbara vacation, from the Reagan ranch when the Korean jetliner was shot out of the air by the Russians."
barely-true,"The Manchin-Toomey amendment would have criminalized certain private transfers of firearms between honest citizens, requiring lifelong friends, neighbors and some family members to get government approval."
pants-fire,School children can earn higher grades by studying Islam under a new nationwide Muslim outreach program announced by President Barack Obama.
half-true,The Republican Party lost 1.1 million registered voters since 2008. The Democratic Party lost 1.2 million registered voters (while) voter registration in the Libertarian Party rose 8 percent.
half-true,Her campaign and her supporters in her campaign were the ones that borne out the birther movement.
false,"On whether he supports 'Don't Ask, Don't Tell.'"
mostly-true,"Under Mary Burkes leadership, Commerce Department business-incentive programs had major shortcomings and 40 percent of jobs...didnt materialize."
barely-true,America is one of the highest-taxed nations in the world.
false,Common Core expects English teachers to spend at least half of their reading instructional time at every grade level on informational texts.
true,"Hillary Clinton ""starts off with 47 percent of the country against her."""
pants-fire,Says he was exonerated in every single case in 1990s ethics violations charges.
barely-true,"Says Barack Obama endorsed a total ban on the manufacture, sale and possession of all handguns."
barely-true,"We spend in tax loopholes annually $1.1 trillion. Thats more than we spend on our defense budget in a year, on Medicare or Medicaid in a year."
half-true,"Says that like Todd Akin, all Texas Republicans in U.S. House cosponsored a bill that attempts to distinguish between forcible rape and other sexual assaults."
false,Supreme Court nominee Merrick Garland voted to uphold D.C.s ban on handguns.
half-true,Says New Jersey is losing 50 football fields of open space to development every day and the more we develop upstream the more flooding we have downstream.
false,There have been 30 published polls in this election cycle and Harry Reids been trailing in every single one.
barely-true,Newt Gingrichs presidential campaign has exactly the same challenges as Ronald Reagans successful 1980 bid.
half-true,Says Paul Ryan wants to cut Pell Grant scholarships for nearly 10 million students.
mostly-true,"The Great Lakes Compact has a loophole. And the loophole is that while you cannot remove the water in a big transport, you can remove it in containers of 5.7 gallons or less."
half-true,"There are only four countries in the world that ... legalize abortion after five months -- China, North Korea, Canada and the U.S."
true,Toledo Mayor Mike Bell (once) lost his job as a firefighter because his city ran out of money.
mostly-true,We bailed out Johnson Controls when we saved the auto industry and now they want to avoid paying taxes.
half-true,Says India gained jobs thanks to Romney.
false,Says Mitt Romneys campaign has already spent more on negative ads than John McCain did during his entire presidential run.
barely-true,Californias proposed tobacco tax diverts 82 percent of the new taxes to line the pockets of wealthy special interests like insurance companies who dont have to help even one more patient.
false,On whether President Obamas speeches to school children spread socialist ideology.
mostly-true,Pinnacle Overlook in Southwest Virginia is closer to eight other state capitals than to Richmond.
false,On support for gay marriage
true,"If you tried to pay out $1 trillion by handing it out at $1 per second, it would take more than 31,000 years."
pants-fire,Says Obama sent $450 million to China to build a wind farm in Texas.
half-true,"The DeWine campaign is receiving money from so many more people.(Cordrays) money is coming almost exclusively from the party, labor unions, and special counsel that he has given business to."
false,Says that you cant destroy the guns purchased in a (gun) buyback program as the city (of Memphis) wants to do.
barely-true,The tax burden on Virginia families was lower under Tim Kaine than under George Allen.
mostly-true,"Says the 2010-11 New Hampshire budget ended with an $18 million surplus, while the Republican-led 2012-13 budget has a $40 million deficit."
pants-fire,Says Texas retained the right to have a navy when it joined the United States.
barely-true,Congress and President Obama have accumulated more debt since he took office than the total amount of debt accumulated during the first 200 years of the United States existence.
barely-true,Says the estate tax is a threat to family farms.
mostly-true,McCain lobbied for (a) $10-million pork project honoring conservative justice.
true,(I) helped to invent a system that saved over a billion dollars on welfare.
mostly-true,"More than 32,000 Americans lose their lives to gun violence each year."
barely-true,Says Will Hurd said a border-long U.S.-Mexico wall absolutely makes sense.
mostly-true,Undocumented workers crossing the border right now is at a 12-year low.
true,You can fill out your tax return in Estonia online in five minutes.
half-true,Our president has labeled Americans as soft.
true,"When these [undocumented] students graduate from college, theyre still illegal aliens. They cannot get a job."
half-true,The health care reform law offset[s] 6 years of benefits with 10 years of tax increases.
barely-true,I brought down crime more than anyone in this country -- maybe in the history of this country -- while I was mayor of New York City. -
half-true,"One of the interesting things about the Recovery Act was most of the projects came in under budget, faster than expected, because theres just not a lot of work there."
half-true,"First, he (Obama) opposed the surge. Then he confidently predicted that it would fail. Then he tried to prevent funding for the troops who carried out the surge."
half-true,Says the United States is in the worst recovery from an economic recession since World War II.
true,We know that every 85 visitors create one Florida job.
mostly-true,About 70 percentof Republicans nationwide ...dont think Donald Trump is the right guy to take on Hillary Clinton in November.
mostly-true,"Every 10th dollar spent by the Social Security Administration on its program for the poor is waste, or fraud, they cant validate that the people should have gotten it, totaling about $8 billion a year."
barely-true,"Children are crossing the border because President Barack Obama said if you come, youre going to be able to stay, because were not going to enforce the law."
half-true,"For each $1 billion in infrastructure investment, 42,000 jobs are created."
false,"Despite what you may have heard about Wisconsins finances, Wisconsin is on track to have a budget surplus this year."
half-true,Says Kelly Ayotte stands with the Washington gun lobby. They fund her campaigns.
barely-true,"A DWI costs $17,000."
false,Says Democratic Party created Planned Parenthood
mostly-true,Creating 25 jobs in Umatilla County has the same impact as 500 jobs in the metro region.
mostly-true,Donald Trump called the military that I served in a disaster.
barely-true,Says a Barack Obama black imposter joke got a standing ovation at San Angelo rodeo.
true,Polls show that 96 percent of New Jerseyans and 95 percent of gun households in the state support expanding background checks to keep guns away from those who shouldnt have them.
true,Members of Congress did not have three days to read the bill when the stimulus was rushed into law.
mostly-true,We got the highest vote count in the history of the Republican Party.
mostly-true,"By 2006, the American people were overwhelmingly against the Iraq War."
half-true,Barack Obama ended up getting re-elected by the largest gender gap in the history of American elections.
false,The Department of Energys Billion Ton Study has shown that wind and solar energy combined could at best provide only 5 percent of our total energy needs.
mostly-true,$65 billion would be added to the deficit if we keep the cuts for people on the highest incomes.
mostly-true,"Given how expansive our program already was, expanding Medicaid in New Jersey due to Obamacare was a relatively small expansion."
mostly-true,"We went from losing 3 million jobs in the last six months of the Bush Administration, adding almost 600,000 private sector jobs in the first six months of the year."
false,Funding the federal health care law without a tax hike will require the state to cut nearly a quarter of its annual budget.
mostly-true,Over half of the black workers in this country earn less than $15 an hour.
pants-fire,Says President Ronald Reagan had a month of job creation of 1 million.
true,Sen. Obama has always had a 100 percent prochoice rating.
mostly-true,We have one of the highest percentages per capita of nonprofits in this state of any state in the union.
half-true,"While our people work longer hours for lower wages, almost all new income goes to the top 1 percent."
false,Says George Norcross said the TAKEOVER OF RUTGER$ CAMDEN WILL COST NEW JER$EY BILLION$.
barely-true,We actually have not required in this law that you carry health insurance.
mostly-true,I was filibustered.
barely-true,Says state Sen. Alberta Darling is allowing mercury to harm our children because she voted against an electronics recycling bill.
half-true,"Gov. (Pat) McCrory took $500,000 directly out of the disaster relief fund. And you know what its for? House Bill 2."
true,No member of the American public has ever been killed by commercial nuclear power a record unmatched by other fuels.
mostly-true,"Says Vladimir Putin once said, The breakup of the Soviet Union was the greatest geopolitical tragedy of the 20th century."
true,"In 2011, the average annual compensation for a teacher in the Milwaukee Public Schools system will exceed $100,000."
true,America is No. 1one in oil and gas.
true,Georgia has led the nation in student fatalities caused by motorists illegally passing stopped school buses.
pants-fire,Says Bruce Braley took tens of thousands from his friends in the health insurance industry and gave them special favors by voting for Obamacare.
true,We spend more per student than almost any other major country in the world.
true, ... following World War II war crime trials were convened. The Japanese were tried and convicted and hung for war crimes committed against American POWs. Among those charges for which they were convicted was waterboarding.
pants-fire,Gov. Scott Walker hired convicted Assembly Speaker Scott Jensen to oversee a raid on the state employee retirement system to help balance the state budget.
true,Washington has incentivized the militarization of local police precincts.
mostly-true,"While Romney was a director of the Damon Corporation, the company was defrauding Medicare of millions."
mostly-true,Our crime rate continues to plummet.
pants-fire,"We dont know anything about Hillary in terms of religion. Now, shes been in the public eye for years and years, and yet theres no theres nothing out there."
true,The property appraisers budget is $1 million less today than when I took office 16 years ago.
half-true,"For more than 80 years, there has not been a nomination and confirmation of a Supreme Court Justice in a presidential election year. This is simply not the time to break with decades of bipartisan practice."
half-true,The latest Quinnipiac poll found that nearly six-in-ten Americans oppose ObamaCare -- 30% support the law and 57% oppose it.
false,There was some sort of informal commitment to build a (psychiatric) building in downtown Cleveland.
false,Says Wisconsin state Senate President Michael Elllis (R-Neenah) broke Senate rules during debate on a photo ID bill for voters.
true,Says a highway was closed in El Paso because of bullets flying across the border.
barely-true,Amanda Murphy has two vacation homes around the world.
false,Texans eat more catfish than residents of all other states combined.
true,"President Obama budget request for veterans ismore than double the amount in constant dollars appropriated in 1980, when the veterans population was larger by a third."
half-true,"The federal government has $3 trillion in cash flow, so we can pay our bills and wont default."
pants-fire,Says the Democrats told the Catholic Church that theyll use federal powers to shut down church charities and hospitals if the church doesnt change its beliefs.
barely-true,We have been confronted with an unexpected storm that has hit the metropolitan area.
true,"Electric car sales in Georgia have dropped dramatically since a $5,000 tax credit was eliminated and a $200 annual registration fee was imposed July 1."
false,Martin Luther King was a Republican.
half-true,"Since the first of the year, 153 businesses at last count had moved out of California to Texas."
barely-true,"Sources show (Connie) Mack as a resident of California, living with his wife in Palm Springs."
half-true,Says Donald Trump says organized crime runs wild on reservations.
true,The entire state of Florida led the nation last year with the most prison inmates committing tax fraud.
true,"The Obama administration notified Poland and the Czech Republic about cancellation of major missile-defense facilities ""at the last minute in midnight phone calls."""
mostly-true,The IRS doesnt have to prove something against you ... youve got the burden of proof.
barely-true,"The financial services bill will end ""too-big-to-fail."""
barely-true,Mr. Warren compared same-sex couples to incest.
false,"If you give guns to gangs, you can get out of jail free, if (Californias Proposition 57) passes. If you do a drive-by shooting, you can get out of jail free, if Proposition 57 passes. If you discharge guns on a school yard, you can get out of jail free."
mostly-true,"Texas has 600,000 registered voters who dont have the kind of photo ID needed to vote."
mostly-true,"When President Obama took office, we were losing 700,000 jobs a month. Now weve had job growth, I think, for 24 consecutive months."
mostly-true,"Says Donald Trump was one of the people who rooted for the housing crisis. He said back in 2006, Gee, I hope it does collapse because then I can go in and buy some and make some money."
mostly-true,"Says DonaldTrump proposes tax cuts, too -- $3 trillion for millionaires like himself and $2 trillion for corporations like his."
barely-true,More 25- to 34-year-olds are moving to Austin than any other city in America.
false,Signs letter saying Consumer Product Safety Commission is acting without consultation or input from the company to stop the sale of Buckyballs.
false,Says the U.S. Senate has passed a budget over the last three years called the Budget Control Act.
mostly-true,55 percent of the people who cast a provisional ballot (in Florida) in the last presidential election -- their vote did not count.
true,"Says a poll shows that without a name attached, Democrats are just one point behind Gov. John Kasich."
true,Says Kelly Ayotte voted again yesterday against a proposal to expand background checks -- (buyers) can continue to simply go online or to gun shows to purchase guns without background checks.
mostly-true,"The presidents party always gets shellacked in midterms. Its only twice, 1934 and 2002, that the presidents party actually gained in both the House and the Senate."
mostly-true,"Says that when he first ran for office in the late 1980s, there were still folks who didnt have phone service. Soon Id helped ensure that everyone in North Florida could access a dial tone."
true,I'm for a three-state political solution in Iraq. (Romney) is not.
half-true,"Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order!"
